"","V1"
"1",3.36637977121628
"2",2.67064367891723
"3",2.58227704831455
"4",2.27704854064367
"5",4.33318036634931
"6",4.96816209365288
"7",4.93179479675789
"8",3.76612951901251
"9",4.9002910755261
"10",3.47220421501863
"11",3.55999549771291
"12",15.2966815338019
"13",15.288895045137
"14",4.71377851711817
"15",2.33898549371209
"16",2.09531680526981
"17",15.1093993174217
"18",5.2088777812605
"19",17.5489099874043
"20",1.87839267097467
"21",3.24241459861408
"22",4.23226256731257
"23",6.54771435053293
"24",15.5552412351181
"25",5.80498700649374
"26",2.83546099325134
"27",5.65930242615553
"28",2.73421986996614
"29",2.74498520187497
"30",1.64793537697695
"31",6.82014153410631
"32",24.483390960653
"33",2.8171156172815
"34",4.39008473219618
"35",4.89261792625222
"36",6.46598505321321
"37",2.64130623479985
"38",5.46664594340404
"39",3.50177406185538
"40",2.42842571753059
"41",2.35843613123901
"42",2.51119458089707
"43",2.66788840792948
"44",2.69718820552779
"45",9.87948376216791
"46",4.13281540478254
"47",4.09095724902151
"48",3.59257671297761
"49",2.09184218144479
"50",2.76293176606697
"51",3.16655156431778
"52",2.62801965165125
"53",70.6789308206928
"54",5.02018098127474
"55",20.6351541501586
"56",3.13252491224313
"57",4.28516765181482
"58",2.21149850615616
"59",2.95608799283706
"60",5.09572364936879
"61",6.12681838536009
"62",2.74392460425406
"63",2.09001189306407
"64",8.87786353260135
"65",23.09311533772
"66",3.51539215743584
"67",2.63988314480894
"68",32.7686412384685
"69",5.54039822962271
"70",5.01911874157572
"71",3.31773264484503
"72",6.59265612628256
"73",4.72378515827502
"74",2.10198459969609
"75",711.451890254584
"76",86.71108077975
"77",4.15574513987563
"78",4.13385329248769
"79",2.82809876129215
"80",391.875726954099
"81",2.54026531323266
"82",6.93069465672774
"83",66.653934004563
"84",2.13499403445902
"85",4.70822364120482
"86",164.098766499761
"87",2.6897126145463
"88",1.96375029726283
"89",1.37565037378298
"90",2.5249861257213
"91",74.8732785192748
"92",2.61223833375313
"93",5.21284088982181
"94",67.6377906139632
"95",2.40194349351732
"96",8.51177249118271
"97",2.65055208506268
"98",193.610941820986
"99",2.88286888267339
"100",74.5503294181232
"101",2.65895862332988
"102",421.780941563059
"103",4.4902805077098
"104",692.259725292921
"105",3.11057758688545
"106",3.38424619103833
"107",2.48977934323467
"108",4.37705691472765
"109",2.2857483287706
"110",5.76161866195062
"111",1.9391406651628
"112",1.72944900826675
"113",688.795737012722
"114",356.062926091362
"115",2.60595801304517
"116",3.7743156839014
"117",4.52573641844702
"118",2.85347163597974
"119",4.523865166913
"120",4.62206888202456
"121",364.253574214142
"122",80.2961883622435
"123",10.4749472438222
"124",4.13379146331969
"125",7.18482039665512
"126",-88.6063666116609
"127",30.9017844212183
"128",6.38798896310906
"129",599.517725737312
"130",626.136718410783
"131",1022.52398041987
"132",4.98517943212432
"133",3.61229846357419
"134",2.36052789998667
"135",31.0057328248173
"136",182.029080031477
"137",6.32986960124673
"138",15.8169650034962
"139",2.0406844847037
"140",646.237284479046
"141",1.63227816405998
"142",5.12028434935695
"143",6.40949049290818
"144",2.83645355171351
"145",735.314818259533
"146",23.5998500305118
"147",4.27874294528007
"148",711.99968509475
"149",1.82417183712493
"150",2.75174544404946
"151",3.75403062018208
"152",4.42012579902936
"153",942.6822964959
"154",462.945623698643
"155",-90.1579395761078
"156",1.74262881537303
"157",1.2560662007243
"158",395.97435287796
"159",461.628669790473
"160",2.67634629980197
"161",336.340836570121
"162",426.307414707899
"163",195.230380068056
"164",2.04411623386911
"165",2.146283757549
"166",3.63058846891098
"167",695.792030042649
"168",1.69288202295173
"169",-271.395581927454
"170",386.597589516143
"171",3.78699281336934
"172",1.6488529583601
"173",229.407341389415
"174",132.254541340259
"175",789.930049639425
"176",1625.14289878216
"177",-137.710272917124
"178",1.77343723792746
"179",11.9228798895007
"180",23.8376909861771
"181",-235.98574772607
"182",2.5205854460277
"183",-406.317825347993
"184",474.843509078916
"185",4.09902939007569
"186",-275.331361812737
"187",1.58960043235452
"188",25.616068261463
"189",22.3259215098725
"190",29.162534041419
"191",4.25750785489951
"192",1.59558552998883
"193",680.210469797269
"194",339.622534396904
"195",783.213362371735
"196",2.0487051710757
"197",21.9324988928435
"198",511.317098125669
"199",238.182448631731
"200",273.415086876582
"201",2.16752933127558
"202",517.429429289773
"203",4.76538470377654
"204",89.1836878965241
"205",1.89629891967526
"206",-436.956342414413
"207",0.682380528978652
"208",1.24384038612189
"209",31.0630122048521
"210",-254.805390377834
"211",24.4144146658064
"212",-68.5862042464162
"213",4.20452873724332
"214",-516.31471194724
"215",23.420697581399
"216",-239.739316104396
"217",1.61636625079887
"218",1.93241513299608
"219",207.45417485061
"220",95.483630820364
"221",1.31086746269625
"222",24.1262663106077
"223",-54.5302126585817
"224",4.51424715428873
"225",-374.988239679489
"226",4.431032644153
"227",994.721428233441
"228",190.451938756781
"229",71.086460682369
"230",341.122562821907
"231",25.8101576855957
"232",-246.87660244641
"233",28.0038698174355
"234",24.3464852572839
"235",4.18221574344955
"236",2.42212909398238
"237",1.89015304785292
"238",1.06006896947746
"239",3.86486352163594
"240",180.337532281373
"241",-185.525058644982
"242",0.757397060359184
"243",-87.2684214044573
"244",454.47795893566
"245",1.87817853717429
"246",67.7212805489633
"247",-163.338632016107
"248",4.81326359666598
"249",397.296293906121
"250",238.779378185743
"251",240.829745845329
"252",407.050729599057
"253",655.734946319518
"254",0.672881623216166
"255",103.674565083834
"256",156.929357000055
"257",0.526133533321689
"258",6.15252833788387
"259",4.1386738616334
